dataset_type,ticker,company_name,period,period_role,field_key,field_label,value,value_unit,availability_reason,reported_or_derived,form,filed,chart_meaningful,chart_note
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,restricted_cash,Restricted Cash,117063000,USD,reported,reported,10-K,2026-02-11,true,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,revenue,Revenue,1716485000,USD,reported,reported,10-K,2026-02-11,true,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,short_term_investments,Short-Term Investments,,USD,missing_inputs,missing,,,false,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,total_assets,Total Assets,17990232000,USD,reported,reported,10-K,2026-02-11,true,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,total_debt,Total Debt,,USD,intentionally_suppressed,suppressed,,,false,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,total_liabilities,Total Liabilities,9856090000,USD,reported,reported,10-K,2026-02-11,true,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,stockholders_equity,Total Stockholders' Equity,8134142000,USD,reported,reported,10-K,2026-02-11,true,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,asset_turnover,Asset Turnover,0.09663463086655871,ratio,derived,derived,,,true,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,current_ratio,Current Ratio,,ratio,missing_inputs,missing,,,false,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,de,Debt-to-Equity,,ratio,intentionally_suppressed,missing,,,false,Suppressed because the source concept was not reliable enough for charting.
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,gross_margin,Gross Margin,,ratio,missing_inputs,missing,,,false,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,net_margin,Net Margin,0.27169418899669967,ratio,derived,derived,,,true,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,operating_margin,Operating Margin,,ratio,missing_inputs,missing,,,false,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,quick_ratio,Quick Ratio,,ratio,missing_inputs,missing,,,false,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,roa,Return on Assets,0.02625506766228511,ratio,derived,derived,,,true,
ratio,WPC,W. P. Carey Inc.,2025-12-31,snapshot,roe,Return on Equity,0.05629545059211386,ratio,derived,derived,,,true,
